Curvature_Error,Curvature_AbsError,Curvature_True,RunID
1.3065514688215263e-07,1.3065514688215263e-07,0.05,test 1
-4.0853141258789805e-08,4.0853141258789805e-08,0.05,test 1
3.142632745700702e-08,3.142632745700702e-08,0.05,test 1
-6.481113816736439e-07,6.481113816736439e-07,0.05,test 1
2.4602704239845563e-07,2.4602704239845563e-07,0.05,test 1
-3.3381857135472703e-07,3.3381857135472703e-07,0.05,test 1
1.6907076455519032e-07,1.6907076455519032e-07,0.05,test 1
1.0235673890413022e-07,1.0235673890413022e-07,0.05,test 1
1.3046941985117577e-08,1.3046941985117577e-08,0.05,test 1
-1.9457599113176238e-07,1.9457599113176238e-07,0.05,test 1
-2.9958056216305984e-08,2.9958056216305984e-08,0.05,test 1
-1.730636091518134e-07,1.730636091518134e-07,0.05,test 1
-6.064694859503339e-08,6.064694859503339e-08,0.05,test 1
-7.036151250805478e-07,7.036151250805478e-07,0.05,test 1
2.4136276090269693e-07,2.4136276090269693e-07,0.05,test 1
-1.0815910754524705e-07,1.0815910754524705e-07,0.05,test 1
-4.146171045729674e-07,4.146171045729674e-07,0.05,test 1
1.0741294509675203e-06,1.0741294509675203e-06,0.05,test 1
4.6250104691197835e-07,4.6250104691197835e-07,0.05,test 1
5.087379386994884e-07,5.087379386994884e-07,0.05,test 1
2.4364085454697815e-07,2.4364085454697815e-07,0.05,test 1
5.573415098880652e-08,5.573415098880652e-08,0.05,test 1
2.0497227935789564e-08,2.0497227935789564e-08,0.05,test 1
2.264698987855529e-07,2.264698987855529e-07,0.05,test 1
-4.346667158844353e-08,4.346667158844353e-08,0.05,test 1
-1.4303822293282309e-08,1.4303822293282309e-08,0.05,test 1
1.8548136419827e-07,1.8548136419827e-07,0.05,test 1
7.419763663196743e-08,7.419763663196743e-08,0.05,test 1
3.581566473953579e-07,3.581566473953579e-07,0.05,test 1
2.852885685258877e-07,2.852885685258877e-07,0.05,test 1
-3.8543029351467695e-08,3.8543029351467695e-08,0.05,test 1
-4.199275178279338e-08,4.199275178279338e-08,0.05,test 1
-5.145760028496538e-08,5.145760028496538e-08,0.05,test 1
3.05039479508995e-08,3.05039479508995e-08,0.05,test 1
2.8813288353163324e-07,2.8813288353163324e-07,0.05,test 1
-1.581831526112354e-07,1.581831526112354e-07,0.05,test 1
1.3467361853480853e-07,1.3467361853480853e-07,0.05,test 1
2.626010245365684e-07,2.626010245365684e-07,0.05,test 1
-1.7321891571109305e-07,1.7321891571109305e-07,0.05,test 1
-4.189567509582659e-08,4.189567509582659e-08,0.05,test 1
-4.942695205900627e-08,4.942695205900627e-08,0.05,test 1
3.8600309480718575e-07,3.8600309480718575e-07,0.05,test 1
3.265906681620967e-07,3.265906681620967e-07,0.05,test 1
-1.1739893585049899e-08,1.1739893585049899e-08,0.05,test 1
-1.102902962471508e-06,1.102902962471508e-06,0.05,test 1
4.979465251381265e-07,4.979465251381265e-07,0.05,test 1
3.2441849123765465e-08,3.2441849123765465e-08,0.05,test 1
-3.151293712436165e-07,3.151293712436165e-07,0.05,test 1
4.1692043430130443e-07,4.1692043430130443e-07,0.05,test 1
2.9595578002195033e-09,2.9595578002195033e-09,0.05,test 1
1.5311512084614787e-07,1.5311512084614787e-07,0.05,test 1
-2.6600107208563095e-07,2.6600107208563095e-07,0.05,test 1
-2.7611093193768976e-07,2.7611093193768976e-07,0.05,test 1
2.4520056665644496e-07,2.4520056665644496e-07,0.05,test 1
-2.4506861406869973e-07,2.4506861406869973e-07,0.05,test 1
2.0694780063224005e-08,2.0694780063224005e-08,0.05,test 1
3.1509751183267376e-08,3.1509751183267376e-08,0.05,test 1
-2.0449670370265016e-07,2.0449670370265016e-07,0.05,test 1
2.017672469378784e-08,2.017672469378784e-08,0.05,test 1
-2.6937484061406725e-07,2.6937484061406725e-07,0.05,test 1
2.2926257870620192e-07,2.2926257870620192e-07,0.05,test 1
1.0713982184773485e-07,1.0713982184773485e-07,0.05,test 1
2.8976971418182007e-07,2.8976971418182007e-07,0.05,test 1
2.368680926123634e-07,2.368680926123634e-07,0.05,test 1
-2.3001066204453302e-08,2.3001066204453302e-08,0.05,test 1
-2.75174436084602e-07,2.75174436084602e-07,0.05,test 1
4.5425295229495344e-07,4.5425295229495344e-07,0.05,test 1
6.435939075982722e-07,6.435939075982722e-07,0.05,test 1
3.4317278829743003e-07,3.4317278829743003e-07,0.05,test 1
-3.223165418939078e-07,3.223165418939078e-07,0.05,test 1
7.820418677223495e-08,7.820418677223495e-08,0.05,test 1
-8.68994191050021e-08,8.68994191050021e-08,0.05,test 1
7.990096839716188e-08,7.990096839716188e-08,0.05,test 1
3.0678413875245836e-07,3.0678413875245836e-07,0.05,test 1
2.739657652059413e-07,2.739657652059413e-07,0.05,test 1
6.299092373124315e-07,6.299092373124315e-07,0.05,test 1
2.1211088189337923e-07,2.1211088189337923e-07,0.05,test 1
-1.2217484648274768e-06,1.2217484648274768e-06,0.05,test 1
2.972813598484114e-07,2.972813598484114e-07,0.05,test 1
1.2080033673367296e-07,1.2080033673367296e-07,0.05,test 1
8.673447773194232e-08,8.673447773194232e-08,0.05,test 1
1.4771737749663671e-07,1.4771737749663671e-07,0.05,test 1
6.109960508371426e-08,6.109960508371426e-08,0.05,test 1
3.601499638794525e-08,3.601499638794525e-08,0.05,test 1
-6.38333612773545e-08,6.38333612773545e-08,0.05,test 1
-1.0400281547084944e-07,1.0400281547084944e-07,0.05,test 1
-4.425181610034912e-08,4.425181610034912e-08,0.05,test 1
4.265623273352892e-08,4.265623273352892e-08,0.05,test 1
-6.680061004349369e-09,6.680061004349369e-09,0.05,test 1
-5.30006661267346e-08,5.30006661267346e-08,0.05,test 1
-9.711899910669342e-08,9.711899910669342e-08,0.05,test 1
7.694117624273966e-08,7.694117624273966e-08,0.05,test 1
1.1564921136020256e-07,1.1564921136020256e-07,0.05,test 1
-4.080428641500822e-08,4.080428641500822e-08,0.05,test 1
5.6348006698125896e-08,5.6348006698125896e-08,0.05,test 1
8.731859688082544e-08,8.731859688082544e-08,0.05,test 1
-9.435788442258009e-08,9.435788442258009e-08,0.05,test 1
-2.4502852524754815e-08,2.4502852524754815e-08,0.05,test 1
-7.414793071203185e-08,7.414793071203185e-08,0.05,test 1
3.459439346098492e-08,3.459439346098492e-08,0.05,test 1
-9.63736736664389e-08,9.63736736664389e-08,0.05,test 1
-1.4085687580905892e-07,1.4085687580905892e-07,0.05,test 1
-8.161394782213449e-09,8.161394782213449e-09,0.05,test 1
-1.7081162526078053e-09,1.7081162526078053e-09,0.05,test 1
1.1052666618049933e-07,1.1052666618049933e-07,0.05,test 1
1.3561488257374243e-07,1.3561488257374243e-07,0.05,test 1
-4.327285333532993e-08,4.327285333532993e-08,0.05,test 1
-3.814084004183371e-08,3.814084004183371e-08,0.05,test 1
1.08754324504301e-08,1.08754324504301e-08,0.05,test 1
7.88030428411357e-08,7.88030428411357e-08,0.05,test 1
1.243953763052641e-07,1.243953763052641e-07,0.05,test 1
7.410815182351538e-08,7.410815182351538e-08,0.05,test 1
-6.782190811738253e-08,6.782190811738253e-08,0.05,test 1
1.429005945033368e-07,1.429005945033368e-07,0.05,test 1
1.7593038498242564e-08,1.7593038498242564e-08,0.05,test 1
-4.0663543011965064e-08,4.0663543011965064e-08,0.05,test 1
1.311100539247434e-08,1.311100539247434e-08,0.05,test 1
-1.0755584736732438e-07,1.0755584736732438e-07,0.05,test 1
2.3594205450505612e-08,2.3594205450505612e-08,0.05,test 1
-7.557421410203657e-08,7.557421410203657e-08,0.05,test 1
-6.322178106032972e-08,6.322178106032972e-08,0.05,test 1
-1.9003028484121387e-08,1.9003028484121387e-08,0.05,test 1
4.765463815226134e-09,4.765463815226134e-09,0.05,test 1
-2.336299292915456e-09,2.336299292915456e-09,0.05,test 1
-1.551502190610954e-08,1.551502190610954e-08,0.05,test 1
2.5993185714945355e-08,2.5993185714945355e-08,0.05,test 1
-8.220824126992099e-08,8.220824126992099e-08,0.05,test 1
-4.009408217930943e-08,4.009408217930943e-08,0.05,test 1
4.624266059655158e-08,4.624266059655158e-08,0.05,test 1
4.799892983076148e-08,4.799892983076148e-08,0.05,test 1
-1.7401418334062058e-08,1.7401418334062058e-08,0.05,test 1
-6.092031809568077e-08,6.092031809568077e-08,0.05,test 1
-2.09349699381578e-08,2.09349699381578e-08,0.05,test 1
8.409392074359978e-08,8.409392074359978e-08,0.05,test 1
-3.2721150594605675e-08,3.2721150594605675e-08,0.05,test 1
-2.103475031656199e-08,2.103475031656199e-08,0.05,test 1
-4.233215609994456e-08,4.233215609994456e-08,0.05,test 1
-4.342688687819507e-09,4.342688687819507e-09,0.05,test 1
5.470194582024579e-08,5.470194582024579e-08,0.05,test 1
-8.98930271608922e-08,8.98930271608922e-08,0.05,test 1
-5.251381604565175e-08,5.251381604565175e-08,0.05,test 1
-6.876219163509667e-08,6.876219163509667e-08,0.05,test 1
3.783348587194091e-08,3.783348587194091e-08,0.05,test 1
-1.0135471832650733e-07,1.0135471832650733e-07,0.05,test 1
-1.3689646853609627e-07,1.3689646853609627e-07,0.05,test 1
2.792346845970073e-07,2.792346845970073e-07,0.05,test 1
-1.4762528327549873e-07,1.4762528327549873e-07,0.05,test 1
1.5981113038465722e-07,1.5981113038465722e-07,0.05,test 1
-7.007000041997502e-08,7.007000041997502e-08,0.05,test 1
-8.454261124501983e-09,8.454261124501983e-09,0.05,test 1
1.3084984096245478e-08,1.3084984096245478e-08,0.05,test 1
-1.966419901772154e-07,1.966419901772154e-07,0.05,test 1
4.635933341379239e-08,4.635933341379239e-08,0.05,test 1
1.741676814714932e-07,1.741676814714932e-07,0.05,test 1
2.1924848464527358e-09,2.1924848464527358e-09,0.05,test 1
-6.492674618774341e-08,6.492674618774341e-08,0.05,test 1
-1.495839485610162e-08,1.495839485610162e-08,0.05,test 1
6.166423024978052e-09,6.166423024978052e-09,0.05,test 1
3.827293743041693e-08,3.827293743041693e-08,0.05,test 1
-3.230734591658235e-08,3.230734591658235e-08,0.05,test 1
-4.040529934246084e-08,4.040529934246084e-08,0.05,test 1
-2.0747833361089985e-08,2.0747833361089985e-08,0.05,test 1
-6.48329337993303e-08,6.48329337993303e-08,0.05,test 1
-5.362040295109338e-08,5.362040295109338e-08,0.05,test 1
-5.062774775799195e-09,5.062774775799195e-09,0.05,test 1
1.689842551999554e-08,1.689842551999554e-08,0.05,test 1
-2.9957414944548066e-08,2.9957414944548066e-08,0.05,test 1
5.2484820919906916e-08,5.2484820919906916e-08,0.05,test 1
-7.912322044778541e-08,7.912322044778541e-08,0.05,test 1
-4.744696874281473e-08,4.744696874281473e-08,0.05,test 1
-2.7132433355614438e-08,2.7132433355614438e-08,0.05,test 1
1.0010031289975352e-08,1.0010031289975352e-08,0.05,test 1
1.3676649604499325e-08,1.3676649604499325e-08,0.05,test 1
-6.12411771433452e-08,6.12411771433452e-08,0.05,test 1
-3.851521868797336e-08,3.851521868797336e-08,0.05,test 1
-4.3875114374980484e-08,4.3875114374980484e-08,0.05,test 1
-2.5390987937190523e-08,2.5390987937190523e-08,0.05,test 1
1.4788500482532108e-07,1.4788500482532108e-07,0.05,test 1
-5.571776036383813e-08,5.571776036383813e-08,0.05,test 1
-6.585295266037239e-08,6.585295266037239e-08,0.05,test 1
-8.756429758366435e-08,8.756429758366435e-08,0.05,test 1
-1.868688591366574e-08,1.868688591366574e-08,0.05,test 1
3.002702108484412e-08,3.002702108484412e-08,0.05,test 1
1.1298062237152795e-07,1.1298062237152795e-07,0.05,test 1
2.4238749285476757e-08,2.4238749285476757e-08,0.05,test 1
4.731875589969459e-08,4.731875589969459e-08,0.05,test 1
-2.444956667679854e-08,2.444956667679854e-08,0.05,test 1
-7.328144271956383e-09,7.328144271956383e-09,0.05,test 1
-6.12355939080822e-08,6.12355939080822e-08,0.05,test 1
1.841760075005361e-08,1.841760075005361e-08,0.05,test 1
6.633988081095055e-10,6.633988081095055e-10,0.05,test 1
3.818828907264926e-08,3.818828907264926e-08,0.05,test 1
7.99627252884294e-08,7.99627252884294e-08,0.05,test 1
-8.309464523403864e-08,8.309464523403864e-08,0.05,test 1
-1.2947934686924345e-07,1.2947934686924345e-07,0.05,test 1
-1.0649006418339546e-07,1.0649006418339546e-07,0.05,test 1
-4.9508071336967774e-08,4.9508071336967774e-08,0.05,test 1
-2.744522810405048e-09,2.744522810405048e-09,0.05,test 1
-4.3459956813873823e-08,4.3459956813873823e-08,0.05,test 1
-3.510555242336455e-09,3.510555242336455e-09,0.05,test 1
-4.199408398103399e-08,4.199408398103399e-08,0.05,test 1
1.7002785981934387e-07,1.7002785981934387e-07,0.05,test 1
-2.4283459798546403e-08,2.4283459798546403e-08,0.05,test 1
1.0785407232594135e-07,1.0785407232594135e-07,0.05,test 1
1.5919400700448172e-08,1.5919400700448172e-08,0.05,test 1
4.641823145995483e-08,4.641823145995483e-08,0.05,test 1
4.3478027164645106e-08,4.3478027164645106e-08,0.05,test 1
-4.916812917227231e-08,4.916812917227231e-08,0.05,test 1
-6.264857937976487e-09,6.264857937976487e-09,0.05,test 1
-1.4237249629234228e-08,1.4237249629234228e-08,0.05,test 1
4.4786357247805775e-08,4.4786357247805775e-08,0.05,test 1
-6.316546259654832e-08,6.316546259654832e-08,0.05,test 1
-1.7476191042919975e-08,1.7476191042919975e-08,0.05,test 1
3.6994745225560344e-08,3.6994745225560344e-08,0.05,test 1
-6.281580741673842e-09,6.281580741673842e-09,0.05,test 1
3.4884259023093556e-09,3.4884259023093556e-09,0.05,test 1
-4.72443443255699e-08,4.72443443255699e-08,0.05,test 1
-1.3489647870956745e-09,1.3489647870956745e-09,0.05,test 1
-1.271928455615079e-08,1.271928455615079e-08,0.05,test 1
5.909235514106603e-08,5.909235514106603e-08,0.05,test 1
-7.022769211301183e-08,7.022769211301183e-08,0.05,test 1
-4.091689230489859e-08,4.091689230489859e-08,0.05,test 1
4.804618975590147e-08,4.804618975590147e-08,0.05,test 1
-4.168208488086744e-08,4.168208488086744e-08,0.05,test 1
-3.3072658466026805e-08,3.3072658466026805e-08,0.05,test 1
-8.062093363736533e-08,8.062093363736533e-08,0.05,test 1
9.122556936247417e-08,9.122556936247417e-08,0.05,test 1
-2.7578146655216074e-08,2.7578146655216074e-08,0.05,test 1
1.89258301253048e-08,1.89258301253048e-08,0.05,test 1
5.521293888754997e-08,5.521293888754997e-08,0.05,test 1
1.170844171616281e-09,1.170844171616281e-09,0.05,test 1
5.5096764609019466e-08,5.5096764609019466e-08,0.05,test 1
-4.681789618488086e-08,4.681789618488086e-08,0.05,test 1
-4.281019175267353e-08,4.281019175267353e-08,0.05,test 1
-5.8399867858272e-08,5.8399867858272e-08,0.05,test 1
2.4492173053558552e-08,2.4492173053558552e-08,0.05,test 1
1.5177246473485617e-08,1.5177246473485617e-08,0.05,test 1
3.014019585301231e-08,3.014019585301231e-08,0.05,test 1
1.5506572421941645e-08,1.5506572421941645e-08,0.05,test 1
-8.895892057714239e-08,8.895892057714239e-08,0.05,test 1
1.1405883801329786e-07,1.1405883801329786e-07,0.05,test 1
4.81655393833047e-08,4.81655393833047e-08,0.05,test 1
5.636867024538805e-08,5.636867024538805e-08,0.05,test 1
1.04379580118108e-07,1.04379580118108e-07,0.05,test 1
7.085313508820024e-08,7.085313508820024e-08,0.05,test 1
-2.2624804972559698e-07,2.2624804972559698e-07,0.05,test 1
2.6586136385453596e-07,2.6586136385453596e-07,0.05,test 1
-6.197407632219099e-08,6.197407632219099e-08,0.05,test 1
-5.4571360597055474e-08,5.4571360597055474e-08,0.05,test 1
-4.708383224971691e-09,4.708383224971691e-09,0.05,test 1
3.0113914695206745e-09,3.0113914695206745e-09,0.05,test 1
5.9271117902603976e-08,5.9271117902603976e-08,0.05,test 1
3.101426250540218e-08,3.101426250540218e-08,0.05,test 1
1.6118563181399814e-07,1.6118563181399814e-07,0.05,test 1
-2.455717359947651e-07,2.455717359947651e-07,0.05,test 1
4.242298431988978e-08,4.242298431988978e-08,0.05,test 1
-6.651354619857663e-09,6.651354619857663e-09,0.05,test 1
-4.012229132266398e-09,4.012229132266398e-09,0.05,test 1
1.7858015559368834e-08,1.7858015559368834e-08,0.05,test 1
5.963157673899433e-08,5.963157673899433e-08,0.05,test 1
3.241479350907239e-08,3.241479350907239e-08,0.05,test 1
-4.592461327890263e-09,4.592461327890263e-09,0.05,test 1
-4.930014216308898e-09,4.930014216308898e-09,0.05,test 1
-5.158622978784777e-08,5.158622978784777e-08,0.05,test 1
1.911039126251124e-08,1.911039126251124e-08,0.05,test 1
-6.004986244367849e-09,6.004986244367849e-09,0.05,test 1
3.8139603864006943e-08,3.8139603864006943e-08,0.05,test 1
1.2997508763712418e-09,1.2997508763712418e-09,0.05,test 1
-6.18659614232131e-08,6.18659614232131e-08,0.05,test 1
-7.51938136686614e-08,7.51938136686614e-08,0.05,test 1
-3.7338825087385175e-09,3.7338825087385175e-09,0.05,test 1
-1.0656088788446594e-07,1.0656088788446594e-07,0.05,test 1
9.48040826398433e-08,9.48040826398433e-08,0.05,test 1
9.685436216932963e-08,9.685436216932963e-08,0.05,test 1
1.3971090173647838e-08,1.3971090173647838e-08,0.05,test 1
-6.541773067691992e-09,6.541773067691992e-09,0.05,test 1
-1.3267434850749993e-07,1.3267434850749993e-07,0.05,test 1
3.0480783425046454e-08,3.0480783425046454e-08,0.05,test 1
-2.856087225749926e-08,2.856087225749926e-08,0.05,test 1
4.817688788877339e-08,4.817688788877339e-08,0.05,test 1
-2.153289718753726e-08,2.153289718753726e-08,0.05,test 1
3.404195592221493e-07,3.404195592221493e-07,0.05,test 1
-4.025450350692017e-07,4.025450350692017e-07,0.05,test 1
2.1273177386316178e-08,2.1273177386316178e-08,0.05,test 1
-4.619879236111846e-08,4.619879236111846e-08,0.05,test 1
1.6459478710539877e-08,1.6459478710539877e-08,0.05,test 1
2.0499644898253067e-09,2.0499644898253067e-09,0.05,test 1
1.6016640805305293e-08,1.6016640805305293e-08,0.05,test 1
3.3702036786320555e-09,3.3702036786320555e-09,0.05,test 1
-2.9802983414484174e-08,2.9802983414484174e-08,0.05,test 1
2.148031140458695e-08,2.148031140458695e-08,0.05,test 1
3.683610816374028e-08,3.683610816374028e-08,0.05,test 1
-2.7487145545790348e-08,2.7487145545790348e-08,0.05,test 1
1.224659304521758e-08,1.224659304521758e-08,0.05,test 1
1.5699402614727243e-07,1.5699402614727243e-07,0.05,test 1
-2.628066447796229e-08,2.628066447796229e-08,0.05,test 1
-3.5516542484792524e-08,3.5516542484792524e-08,0.05,test 1
-1.2119834781609828e-08,1.2119834781609828e-08,0.05,test 1
-5.624333443421392e-09,5.624333443421392e-09,0.05,test 1
1.5016128634970372e-07,1.5016128634970372e-07,0.05,test 1
-1.5550922034812675e-07,1.5550922034812675e-07,0.05,test 1
8.47639832074476e-08,8.47639832074476e-08,0.05,test 1
-4.04534673953405e-08,4.04534673953405e-08,0.05,test 1
-9.365577063880082e-11,9.365577063880082e-11,0.05,test 1
3.2712334951945365e-08,3.2712334951945365e-08,0.05,test 1
-6.42448999554901e-09,6.42448999554901e-09,0.05,test 1
6.68230004940984e-08,6.68230004940984e-08,0.05,test 1
-1.1695927615990032e-07,1.1695927615990032e-07,0.05,test 1
1.3573554371454355e-07,1.3573554371454355e-07,0.05,test 1
-5.0341423203648095e-08,5.0341423203648095e-08,0.05,test 1
4.874205631472117e-08,4.874205631472117e-08,0.05,test 1
-9.344438264835553e-09,9.344438264835553e-09,0.05,test 1
-4.471424600027696e-08,4.471424600027696e-08,0.05,test 1
1.3535339404846525e-08,1.3535339404846525e-08,0.05,test 1
1.3390838091154045e-09,1.3390838091154045e-09,0.05,test 1
-2.9466895111462943e-08,2.9466895111462943e-08,0.05,test 1
-1.4282227858708474e-08,1.4282227858708474e-08,0.05,test 1
3.668234480752597e-08,3.668234480752597e-08,0.05,test 1
-1.9070896105366497e-08,1.9070896105366497e-08,0.05,test 1
-7.16900454278413e-09,7.16900454278413e-09,0.05,test 1
4.75643217173749e-09,4.75643217173749e-09,0.05,test 1
-4.3235040839140204e-08,4.3235040839140204e-08,0.05,test 1
1.8394527248610792e-08,1.8394527248610792e-08,0.05,test 1
-4.064066937148336e-09,4.064066937148336e-09,0.05,test 1
-1.925154752280278e-08,1.925154752280278e-08,0.05,test 1
-4.3783025156785005e-08,4.3783025156785005e-08,0.05,test 1
-3.181430649479289e-08,3.181430649479289e-08,0.05,test 1
2.4637581218234228e-08,2.4637581218234228e-08,0.05,test 1
-6.516368215858659e-09,6.516368215858659e-09,0.05,test 1
-5.858270708813951e-09,5.858270708813951e-09,0.05,test 1
-1.5196611787005043e-07,1.5196611787005043e-07,0.05,test 1
1.7649894795690457e-08,1.7649894795690457e-08,0.05,test 1
-2.184498098106724e-07,2.184498098106724e-07,0.05,test 1
