model,rmse_position_mean,rmse_curvature_mean,r2_position_mean,r2_curvature_mean,mae_position_mean,mae_curvature_mean,maxerr_position_mean,maxerr_curvature_mean
rf,0.70319745560225,0.00578321324955103,0.7793279069266834,0.8891246734758004,0.3224948665643511,0.0036957579035254446,4.580422294657156,0.038812057002458454
extratrees,0.6018241360903003,0.0059182594461470225,0.8383921039762571,0.8848551360464296,0.19475639371571518,0.00369976699499855,4.054887792645591,0.039103245217751104
xgb,0.7462316092300965,0.00813198945151741,0.7506719150434833,0.7825225364275017,0.4836748818965033,0.0049832869261728415,4.4290817975997925,0.04391606039367617
lgbm,0.8635841523506197,0.01084487228168801,0.663098726223369,0.6133804553250088,0.6541516932648935,0.006839010235333145,4.293215128903045,0.04398936600161987
