model,rmse_position_mean,rmse_curvature_mean,r2_position_mean,r2_curvature_mean
rf,0.70319745560225,0.00578321324955103,0.7793279069266834,0.8891246734758004
extratrees,0.6018241360903003,0.0059182594461470225,0.8383921039762571,0.8848551360464296
xgb,0.7462316092300965,0.00813198945151741,0.7506719150434833,0.7825225364275017
lgbm,0.8635841523506197,0.01084487228168801,0.663098726223369,0.6133804553250088
