Metric,Position,Curvature
RMSE,0.6523669958021913,0.006111934412859132
R²,0.8302122009789136,0.8749566095611904
MAE,0.22254576950812296,0.0036600296219744394
Max Error,4.213418085782948,0.039879531487431334
