Position_Error,Curvature_Error,Position_AbsError,Curvature_AbsError,Curvature_Active
0.0,0.025676693721232983,0.0,0.025676693721232983,0
0.0,0.02881807870421343,0.0,0.02881807870421343,0
0.0,0.031369170862832,0.0,0.031369170862832,0
0.0,0.03435995731199938,0.0,0.03435995731199938,0
0.0,0.0315650932227608,0.0,0.0315650932227608,0
0.0,0.028399374446870095,0.0,0.028399374446870095,0
0.0,0.028356471898851182,0.0,0.028356471898851182,0
0.0,0.0322356818674577,0.0,0.0322356818674577,0
0.0,0.005452325008179319,0.0,0.005452325008179319,0
0.0,0.009208136677550625,0.0,0.009208136677550625,0
0.0,0.009388260918086297,0.0,0.009388260918086297,0
0.0,0.012344265203378842,0.0,0.012344265203378842,0
0.0,0.009104753112015342,0.0,0.009104753112015342,0
0.0,0.00192900144567823,0.0,0.00192900144567823,0
0.0,0.0006179097725006535,0.0,0.0006179097725006535,0
0.0,0.0006428636873871338,0.0,0.0006428636873871338,0
0.0,0.0026826678424587067,0.0,0.0026826678424587067,0
0.0,0.007893467336755458,0.0,0.007893467336755458,0
0.0,0.008362721999639187,0.0,0.008362721999639187,0
0.0,0.008233871168894236,0.0,0.008233871168894236,0
0.0,0.005995536470888123,0.0,0.005995536470888123,0
0.0,0.004493375232594611,0.0,0.004493375232594611,0
0.0,0.027930693200024875,0.0,0.027930693200024875,0
0.0,0.036159812620483005,0.0,0.036159812620483005,0
0.0,0.03625179589307585,0.0,0.03625179589307585,0
0.0,0.036424906965599135,0.0,0.036424906965599135,0
0.0,0.036434605578550085,0.0,0.036434605578550085,0
0.0,0.03633483212544081,0.0,0.03633483212544081,0
0.0,0.036222825449239396,0.0,0.036222825449239396,0
0.0,0.036224786545036594,0.0,0.036224786545036594,0
0.0,0.03622389532015515,0.0,0.03622389532015515,0
0.0,0.0361595519184552,0.0,0.0361595519184552,0
0.0,0.03612981242399462,0.0,0.03612981242399462,0
0.0,0.03609595813858105,0.0,0.03609595813858105,0
0.0,0.03620474023874841,0.0,0.03620474023874841,0
0.0,0.03625596790556216,0.0,0.03625596790556216,0
0.0,0.03661384437340616,0.0,0.03661384437340616,0
0.0,0.03655190525078926,0.0,0.03655190525078926,0
0.0,0.036421857284409956,0.0,0.036421857284409956,0
