FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp
0.0025452708,0.0021411898,0.002717392,0.0026359467,0.0018470214,0.002494561,0.0029081432,0.0023436998,0.0024347203,0.0023415536,0.005,2025-05-05T15:28:39.797546
0.0025638773,0.0021892115,0.0028306863,0.0027181562,0.0018436372,0.0025707954,0.0030336939,0.0023459892,0.0024843798,0.0024426873,0.005,2025-05-05T15:28:39.834590
0.002466389,0.0021850206,0.0028346346,0.0027351417,0.0018416928,0.002589681,0.0030294831,0.0023681915,0.0024416023,0.0024485772,0.005,2025-05-05T15:28:39.896518
0.0023874843,0.002189156,0.0028137532,0.0027391457,0.0018355943,0.0026014626,0.0030382874,0.0023893085,0.0024278965,0.0024366598,0.005,2025-05-05T15:28:39.938157
0.0024207316,0.002159997,0.0027793737,0.0027286487,0.0018471278,0.0026018403,0.0030124998,0.0023809103,0.0024121609,0.0024324981,0.005,2025-05-05T15:28:39.979884
0.0024030695,0.0021545987,0.0027686513,0.0027198654,0.0018253457,0.002609913,0.0030052802,0.0023878503,0.002443177,0.0024373503,0.005,2025-05-05T15:28:40.021593
0.0023489338,0.0021725404,0.0027664825,0.0027140882,0.0018361788,0.0026129128,0.0029965697,0.0023512002,0.0024572832,0.002475385,0.005,2025-05-05T15:28:40.063549
0.0023965763,0.0021619215,0.0027824491,0.002722091,0.0018522686,0.0026085395,0.0030084127,0.0023201627,0.0024815097,0.0024735602,0.005,2025-05-05T15:28:40.125902
0.00238617,0.0021448422,0.0028044549,0.002713226,0.0018629291,0.0026344107,0.0030268263,0.002277587,0.002509781,0.002481697,0.005,2025-05-05T15:28:40.166318
0.0023957167,0.0021537628,0.0028296132,0.0027341337,0.0018810581,0.0026665812,0.003034258,0.0023063153,0.0025316798,0.0024680397,0.005,2025-05-05T15:28:40.209003
0.0023817057,0.0021240257,0.002820816,0.0027326785,0.0018779188,0.002658562,0.00302686,0.002347837,0.0025419947,0.0024535416,0.005,2025-05-05T15:28:40.250915
0.002441448,0.0021171982,0.0028030213,0.002738666,0.0018472273,0.0026619257,0.0030357963,0.0023443797,0.0025480806,0.0024492843,0.005,2025-05-05T15:28:40.292146
0.002513138,0.0021494245,0.002814549,0.0027680378,0.0018472299,0.0026829364,0.0030212537,0.0023544831,0.0025287478,0.0024456163,0.005,2025-05-05T15:28:40.333888
0.002521421,0.00214356,0.0028280662,0.0027657559,0.0018422402,0.0026588743,0.0030095223,0.002353344,0.002506342,0.0024442114,0.005,2025-05-05T15:28:40.396487
0.0024559444,0.0021427395,0.0028511768,0.0027497672,0.0018522141,0.0026519198,0.0030149352,0.0023492076,0.0024969527,0.0024509097,0.005,2025-05-05T15:28:40.438154
0.0025067774,0.0021391644,0.002846231,0.0027468007,0.0018637468,0.002632508,0.0030105982,0.002387581,0.002489716,0.0024321345,0.005,2025-05-05T15:28:40.479927
0.002449218,0.002089855,0.0028678842,0.0027511388,0.0018610725,0.0026484043,0.0030034615,0.0023928883,0.0024639629,0.0024040784,0.005,2025-05-05T15:28:40.521657
0.0024960786,0.002095919,0.0028692104,0.0026964785,0.0018511781,0.0026036066,0.002990591,0.0023917514,0.0024613705,0.0024033836,0.005,2025-05-05T15:28:40.563101
0.0024716256,0.0020971592,0.0028616358,0.0026891255,0.0018457795,0.0025711735,0.0029816357,0.0023296117,0.0024484375,0.0023954697,0.005,2025-05-05T15:28:40.625656
0.0024706507,0.002092032,0.0028376232,0.0026678268,0.0018179886,0.0025465963,0.0029460513,0.0023085393,0.0024742088,0.0024142603,0.005,2025-05-05T15:28:40.667469
0.0024867381,0.0020877377,0.002825419,0.0026769459,0.0018079883,0.0025617257,0.002951138,0.0023413307,0.0024826166,0.0024072377,0.005,2025-05-05T15:28:40.708505
0.002475103,0.002114791,0.0028413427,0.002669877,0.0017812904,0.0025528546,0.002941862,0.0023539613,0.0024977666,0.0024087187,0.005,2025-05-05T15:28:40.750715
