FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Section,PosX,PosY,PosZ
2.1211925e-05,0.0003952197,0.00069755217,0.0007510084,0.0010535943,0.00093087944,0.023610184,0.039932128,0.02569051,0.045162562,0.01,2025-04-17 17:45:14.482051,,,,
0.000106350075,0.00028991912,0.000944922,0.0012999101,0.0017205412,0.0015452333,0.032843877,0.04638066,0.031750977,0.049024396,0.01,2025-04-17 17:45:14.502927,,,,
8.427965e-05,0.00032540923,0.0011341348,0.0015307501,0.0019903595,0.0022148525,0.041250624,0.05857075,0.037859544,0.06094921,0.01,2025-04-17 17:45:14.543829,,,,
0.000119931174,0.00035895256,0.0012985846,0.0019563676,0.002417665,0.0022928861,0.04970418,0.07082186,0.04313505,0.07244632,0.01,2025-04-17 17:45:14.593138,,,,
0.00018727827,0.00046079364,0.0015097967,0.002088802,0.0025754527,0.0028126908,0.05636031,0.083409354,0.04541447,0.08044055,0.01,2025-04-17 17:45:14.633350,,,,
0.00010486687,0.00034140036,0.001727193,0.0024757197,0.0028235868,0.003497956,0.065885454,0.09373747,0.046459153,0.08876801,0.01,2025-04-17 17:45:14.684659,,,,
0.00040515212,0.0006859713,0.002031197,0.0030682795,0.0033164227,0.0037982299,0.07252909,0.10470056,0.046001263,0.09805177,0.01,2025-04-17 17:45:14.721795,,,,
0.00017734997,0.00051131326,0.002026167,0.0030777513,0.0034229138,0.0034819362,0.0800658,0.11565943,0.043291,0.103972375,0.01,2025-04-17 17:45:14.771638,,,,
0.00020779314,0.0005120678,0.0020573342,0.00303734,0.0033916142,0.0035217043,0.08003028,0.11568313,0.043153863,0.1039028,0.01,2025-04-17 17:45:14.811854,,,,
0.00020607542,0.0005744971,0.0021670389,0.0030354306,0.0033504874,0.0034425007,0.08013638,0.115617216,0.043211766,0.10391158,0.01,2025-04-17 17:45:14.862905,,,,
0.00018525835,0.00044013906,0.0020761993,0.0031957664,0.0032684163,0.003402576,0.08022986,0.11560771,0.043552745,0.10413545,0.01,2025-04-17 17:45:14.902696,,,,
0.00017618893,0.0004984472,0.0020988137,0.0031100705,0.003403783,0.0035296825,0.08021672,0.11560441,0.04397799,0.104549125,0.01,2025-04-17 17:45:14.953093,,,,
0.00017944949,0.0005212364,0.0020873589,0.003136759,0.0033655318,0.0035415571,0.08028731,0.115470104,0.0444838,0.105022885,0.01,2025-04-17 17:45:14.993896,,,,
0.00029934634,0.00040047494,0.0021771926,0.0030092695,0.0034642955,0.0034994632,0.08053175,0.11527267,0.04496521,0.10531156,0.01,2025-04-17 17:45:15.043502,,,,
0.00016239245,0.00057071436,0.001994101,0.0032070305,0.0034896077,0.0037225818,0.080613695,0.1149642,0.04515436,0.105219655,0.01,2025-04-17 17:45:15.083052,,,,
0.00019872196,0.00044578314,0.00221852,0.003086968,0.0031807546,0.0038573053,0.08033742,0.11458069,0.04520939,0.104899846,0.01,2025-04-17 17:45:15.133888,,,,
0.00029126566,0.0006538346,0.0019094293,0.0029798534,0.0033507354,0.003611553,0.079856575,0.11453804,0.044755436,0.10425243,0.01,2025-04-17 17:45:15.186782,,,,
0.00022118619,0.0004997395,0.00206066,0.0032161076,0.0035087415,0.0034937665,0.07956241,0.114899315,0.04372772,0.1031605,0.01,2025-04-17 17:45:15.226047,,,,
0.00036822885,0.00049189397,0.0018377932,0.002991043,0.0032687509,0.003728237,0.079613194,0.11533748,0.04275532,0.10237683,0.01,2025-04-17 17:45:15.274261,,,,
