fold,tested_group,mse,rmse,mae,r2,fitting_time_s,best_iteration
1,0.005,293.9635407564695,17.145364993387265,15.727670015009402,0.0,0.9910268783569336,495
2,0.007142,192.72421371758804,13.88251467557618,12.303682966280585,-2.4430696519761405e+32,1.0640990734100342,496
3,0.01,114.91730358797393,10.719948861257405,8.670490566929457,0.0,0.9947240352630615,498
4,0.01818,104.02387551159462,10.19920955327395,7.719705520759417,0.0,0.9892010688781738,499
5,0.05,1545.26693904219,39.309883477850576,39.2252413725703,0.0,0.994537353515625,499
