FFT_200Hz_Norm,FFT_400Hz_Norm,FFT_600Hz_Norm,FFT_800Hz_Norm,FFT_1000Hz_Norm,FFT_1200Hz_Norm,FFT_1400Hz_Norm,FFT_1600Hz_Norm,FFT_1800Hz_Norm,FFT_2000Hz_Norm,Curvature,Timestamp,Curvature_Active,Position_cm
0.9389616952321843,0.9817341303362628,0.9627416107908761,0.9684399204772357,0.9958307142635725,0.9705150022231027,0.9643542163902177,0.9781131369031639,0.9781494086712894,0.9684010293661617,0.0071428571428571,2025-05-02 15:35:28.552860,0,
0.9666681689177514,0.9985641673516292,1.0023493183920715,1.0029994605493393,1.0016786120898786,1.0042589106100763,1.0029772461843884,0.9986981411094319,1.0030863090212436,1.00797631470411,0.0071428571428571,2025-05-02 15:35:28.588159,0,
0.9638071201852858,0.9994287187063327,1.0009737756016637,1.0024919009450326,1.000834881510842,1.0033737892875216,1.0019904509289694,0.9998330054678631,1.004590611953259,1.0079651530633855,0.0071428571428571,2025-05-02 15:35:28.650258,0,
0.9752167275395015,0.9982789172074739,1.0008244833006696,1.0024184757059817,1.000506006526083,1.0027829250718352,1.0021949029489263,0.9987101630893476,1.0048211560926177,1.0095509004691208,0.0071428571428571,2025-05-02 15:35:28.691821,0,
0.9820676825553948,1.00031092760755,1.0026169282501032,1.0022396708432277,0.99981469661397,1.003095936115831,1.0022255729117766,0.9992159826214959,1.0044928802321396,1.0108342508256136,0.0071428571428571,2025-05-02 15:35:28.734045,0,
0.9881489283272212,0.9989575908564466,1.004018759096936,1.0022656883476715,0.9984138958931991,1.003167081272894,1.0021940390063109,0.9989438535059514,1.0045817933249777,1.0111216332834188,0.0071428571428571,2025-05-02 15:35:28.775239,0,
0.9910388411563393,1.0016287264574677,1.003151636691163,1.0037377727182255,0.9998546696810308,1.0046697001665643,1.0016234913030375,0.9976364631901358,1.0033622061060499,1.0115451400926956,0.0071428571428571,2025-05-02 15:35:28.817019,0,
0.9873046164948832,1.000825948664543,1.0017830813258017,1.0023373237919535,1.0003994739439317,1.00316178224889,1.0014591694175703,1.0005196819785656,1.0015853009613334,1.0130185958317808,0.0071428571428571,2025-05-02 15:35:28.877846,0,
0.9844563469094825,1.0060347020779614,1.0005698257427242,0.998952952844788,0.9984201222276323,0.9996109293030108,0.9962803086061125,0.9997674645861305,0.9966031636143098,1.0088654724536565,0.0071428571428571,2025-05-02 15:35:28.920330,0,
0.988663696054359,0.9952246629789386,0.991684547883569,0.9943605577357597,0.9993423046205266,0.9935067301211626,0.9891701472748451,0.9923394101098038,1.0000417987420667,1.006678744179007,0.0071428571428571,2025-05-02 15:35:28.962739,0,
0.9882232348734753,0.9960788537542995,0.9903513983121931,0.9935967082512701,0.9978636124559971,0.9942633385920018,0.9903177654481387,0.9944291782238073,0.9984927727666238,1.0053782740105843,0.0071428571428571,2025-05-02 15:35:29.003245,0,
0.9973675287139987,0.9974946881936945,0.9900801243166372,0.9951270700856368,1.0003111845216694,0.993218970078508,0.9900962505615255,0.9946900235511854,0.9972167850898958,1.004997983803117,0.0071428571428571,2025-05-02 15:35:29.046045,0,
0.9987281378238955,1.0087182592337853,0.9962697047203454,0.9977935587163987,0.9971857514262596,0.9989315944256915,0.9966445468128056,0.9997744246797658,0.9966954200332545,1.0070753200544358,0.0071428571428571,2025-05-02 15:35:29.087672,0,
1.025698996437681,0.9993508472551456,0.9982424167147291,1.0051867207173784,1.0020494525687174,1.0045724285172377,1.0026976311568832,0.9993597718286437,1.0028387090733406,1.0093450655145464,0.0071428571428571,2025-05-02 15:35:29.150244,0,
1.0337265704499372,0.9997997499912809,0.9990908775828778,1.0049277679718078,0.999253205774788,1.0036663414910147,1.00244320005662,1.0005442532182174,1.0020672244607156,1.0095455778361773,0.0071428571428571,2025-05-02 15:35:29.191915,0,
1.0365355157874199,0.9974862771857338,1.0005880186115954,1.00349658695975,0.9995916693145743,1.0027091995204744,1.0037230014500844,1.0006384253942227,1.0028042582782408,1.0087060715133425,0.0071428571428571,2025-05-02 15:35:29.232195,0,
1.0300280188515234,1.000439265106502,0.998870262418909,1.0032121842056383,0.9993968473101609,1.0035552923792777,1.0029831641913045,1.001500527901324,1.002352618529825,1.008494000339573,0.0071428571428571,2025-05-02 15:35:29.275373,0,
1.0241699887604765,1.000539695883677,0.9992973474717525,1.00330966254024,0.9986292025378976,1.003393234401693,1.0029052797645177,1.0018356669554611,1.0018172502667368,1.0091352981669763,0.0071428571428571,2025-05-02 15:35:29.315428,0,
1.0077663992820152,1.001034719908498,1.0006892510622694,1.0037404792371443,0.9982227474261014,1.0036299855785,1.0032747880211652,1.0016021874507854,1.001160214005765,1.00878869148739,0.0071428571428571,2025-05-02 15:35:29.379211,0,
0.9849520692668632,1.001694789076286,1.0028311098702791,1.0025278714545318,0.9980415610940965,1.002596353348423,1.0043338088792397,1.0004150169341253,1.0008271896531353,1.0095382294250241,0.0071428571428571,2025-05-02 15:35:29.421032,0,
0.9746215844047621,1.0018468556440547,1.002944357283533,1.0038266513072311,0.9985742240048529,1.0041698409283386,1.0034002756860658,0.9991155358156225,0.9995219357594733,1.010423256175868,0.0071428571428571,2025-05-02 15:35:29.461350,0,
0.9772336618009738,1.0046134645407372,1.0033791114614274,1.0043352149427498,1.0001309321398297,1.0046446334791015,1.0035799325529582,0.9992470394029445,0.9991511657396388,1.011107571999374,0.0071428571428571,2025-05-02 15:35:29.504031,0,
