FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Curvature_Active,Position_cm
0.0020862941,0.001924024,0.0025684345,0.0023474721,0.0016610038,0.002279889,0.002640713,0.002186701,0.002212849,0.0020163807,0.0,2025-05-05 14:34:25.926659,0,
0.0021549978,0.0019309192,0.0026569604,0.0024310881,0.0016769224,0.0023419948,0.002742257,0.0022424867,0.0022812865,0.0021145316,0.0,2025-05-05 14:34:25.961287,0,
0.0021297557,0.0019570286,0.0026593534,0.0024489074,0.0016824411,0.0023376318,0.0027624401,0.0022725586,0.0023074572,0.002096961,0.0,2025-05-05 14:34:26.024800,0,
0.00220988,0.0019986008,0.002683255,0.0024598371,0.0016867616,0.002370473,0.002794843,0.0022525815,0.0023327223,0.002108356,0.0,2025-05-05 14:34:26.066350,0,
0.0022976543,0.0020052718,0.0026954273,0.0024694107,0.0016709097,0.002369108,0.0027850606,0.0022698196,0.0023072455,0.0021352696,0.0,2025-05-05 14:34:26.108198,0,
0.0021830727,0.0020062318,0.0027024332,0.0024857658,0.0016621412,0.0023569507,0.0027834305,0.0022725533,0.002317631,0.002127767,0.0,2025-05-05 14:34:26.149670,0,
0.0022090394,0.0020064446,0.0027029063,0.0024883237,0.0016621889,0.002349878,0.002754416,0.0022212681,0.002338834,0.002137578,0.0,2025-05-05 14:34:26.191425,0,
0.0022185869,0.0020144365,0.002683824,0.0024967173,0.0016642357,0.0023502302,0.002741734,0.0021906057,0.0023628557,0.0021142547,0.0,2025-05-05 14:34:26.253915,0,
0.002185985,0.0020217209,0.0026651542,0.0025210846,0.0016675774,0.0023615733,0.002750662,0.002141702,0.0023414106,0.0021225363,0.0,2025-05-05 14:34:26.295543,0,
0.0021275957,0.0019777156,0.0026514542,0.0024902686,0.0017003589,0.0023577283,0.002738571,0.0021662896,0.002307056,0.0021341275,0.0,2025-05-05 14:34:26.337213,0,
0.0021395043,0.0019699875,0.002623766,0.0024854576,0.0017027567,0.0023672173,0.0027403908,0.0021626202,0.002301118,0.002161756,0.0,2025-05-05 14:34:26.378887,0,
0.0021366219,0.0019420269,0.0026508314,0.0024986083,0.0017178997,0.0023647198,0.0027305891,0.0021682866,0.0022946417,0.002160828,0.0,2025-05-05 14:34:26.419991,0,
0.0020826024,0.0019482302,0.0026275055,0.002471317,0.0017387624,0.0023483806,0.0027103554,0.002180335,0.0022903979,0.0021810126,0.0,2025-05-05 14:34:26.462308,0,
0.0020224904,0.0019696252,0.0025902737,0.002432953,0.0017355486,0.0023517816,0.0027007856,0.0021473302,0.0022880374,0.002166398,0.0,2025-05-05 14:34:26.524646,0,
0.0021357075,0.0019564284,0.002552701,0.002436206,0.0017255276,0.0023737906,0.0027103135,0.0021863335,0.0022541932,0.0021666195,0.0,2025-05-05 14:34:26.566250,0,
0.002037509,0.0020049529,0.002564672,0.0024328995,0.0017405134,0.0024109562,0.002711288,0.0021773216,0.0022436783,0.002164004,0.0,2025-05-05 14:34:26.608115,0,
0.0020481572,0.002010986,0.0025780047,0.0024281265,0.0017275519,0.0024371287,0.0027556964,0.0021538886,0.002248558,0.0021466564,0.0,2025-05-05 14:34:26.649966,0,
0.0021299678,0.0020249775,0.0025850907,0.0024468515,0.0017374639,0.002440385,0.0027654911,0.0021841112,0.0022520975,0.0022215645,0.0,2025-05-05 14:34:26.690061,0,
0.0021052707,0.0020336802,0.0025934938,0.0024274874,0.0017286905,0.0024368227,0.002765086,0.0021975175,0.0022672277,0.0022311197,0.0,2025-05-05 14:34:26.754023,0,
0.0021285992,0.001977756,0.0026279858,0.0024566576,0.001728232,0.0024176885,0.00278155,0.0021978735,0.0022599674,0.0021996065,0.0,2025-05-05 14:34:26.795528,0,
0.0021909468,0.001964775,0.0026491,0.0024495998,0.0017286377,0.0024227872,0.0027812375,0.0021653527,0.0022663118,0.002176592,0.0,2025-05-05 14:34:26.836582,0,
0.002244145,0.0019708374,0.0026158208,0.0024601987,0.0017102022,0.002435483,0.0027865188,0.002156631,0.0022946023,0.0021597776,0.0,2025-05-05 14:34:26.878973,0,
0.002191137,0.001985711,0.0026225422,0.0024742417,0.0017122068,0.0024174207,0.0027771404,0.002137884,0.0023175254,0.0021373848,0.0,2025-05-05 14:34:26.920597,0,
0.002192215,0.0020178345,0.0026125626,0.0024658958,0.0016907121,0.0023935712,0.0027573716,0.0021063474,0.0023456886,0.00212728,0.0,2025-05-05 14:34:26.962384,0,
0.0021592951,0.0019819192,0.0026315558,0.0024713636,0.0016880137,0.0024188622,0.0027566566,0.002122697,0.0023308678,0.0020984842,0.0,2025-05-05 14:34:27.024755,0,
