FFT_200Hz,FFT_400Hz,FFT_600Hz,FFT_800Hz,FFT_1000Hz,FFT_1200Hz,FFT_1400Hz,FFT_1600Hz,FFT_1800Hz,FFT_2000Hz,Curvature,Timestamp,Section,PosX,PosY,PosZ,Curvature_Label,RunID
4.0491654e-05,0.00014868623,0.0003755005,0.00083001744,0.0010153657,0.0010870171,0.019854598,0.026144851,0.019442737,0.029660178,0.05,2025-04-17 17:01:54.183585,,,,,0.05,test 1
0.00013592778,0.0001902001,0.00068806414,0.0010764839,0.0012640647,0.00154884,0.026242761,0.039475355,0.028701091,0.040991433,0.05,2025-04-17 17:01:54.225156,,,,,0.05,test 1
9.8996046e-05,0.00024505635,0.0009366029,0.0014401329,0.0016383646,0.002092983,0.036081403,0.051067654,0.035680037,0.05445628,0.05,2025-04-17 17:01:54.264366,,,,,0.05,test 1
0.00011098391,0.00028714622,0.0011521179,0.0018332356,0.0019973097,0.002477478,0.043005973,0.061578076,0.04166641,0.06505784,0.05,2025-04-17 17:01:54.311288,,,,,0.05,test 1
0.00015842154,0.00033404407,0.0011522806,0.0021972058,0.0022890721,0.0026450239,0.052043874,0.071637794,0.04622738,0.0753202,0.05,2025-04-17 17:01:54.353783,,,,,0.05,test 1
0.0001377324,0.00044110444,0.0015589957,0.0023357237,0.0026573804,0.0028892835,0.06018418,0.08303316,0.048288796,0.08719471,0.05,2025-04-17 17:01:54.401445,,,,,0.05,test 1
0.0001290399,0.00047794823,0.0016934524,0.0027499865,0.0027600052,0.003372755,0.066816054,0.09532035,0.04999281,0.0968807,0.05,2025-04-17 17:01:54.443861,,,,,0.05,test 1
0.000214336,0.0004209953,0.0018356837,0.0029553247,0.0031261523,0.003622868,0.07612284,0.106395654,0.05012134,0.10421235,0.05,2025-04-17 17:01:54.494754,,,,,0.05,test 1
0.00034441816,0.0004875006,0.0020105091,0.0034459627,0.0032157118,0.004180143,0.081851624,0.11276265,0.050256204,0.111326955,0.05,2025-04-17 17:01:54.532553,,,,,0.05,test 1
0.00018192663,0.0004913964,0.0020113785,0.0031435222,0.0031181143,0.00393736,0.08148228,0.11254393,0.050150953,0.11105106,0.05,2025-04-17 17:01:54.582831,,,,,0.05,test 1
