fold,tested_group,mse,rmse,mae,r2,fitting_time_s,best_epoch
1,0.005,286.86298990231165,16.937030138200488,16.599073035365713,0.0,105.3082549571991,1
2,0.007142,177.201278904395,13.311697070786842,13.300242978653818,-2.246293075643662e+32,162.79170417785645,15
3,0.01,103.30842862888184,10.164075394687007,9.932305869552007,0.0,181.91050910949707,21
4,0.01818,3.6517704671771942,1.91096061371688,1.4289821051890463,0.0,159.40729594230652,19
5,0.05,1587.6971153030886,39.84591717231627,39.84098530760351,0.0,240.25602006912231,36
